Date,Africa,North America,South America,Asia (ex China),Western & Central Europe,,Russia & Eastern Europe,,Oceania,Gulf Cooperation Council,China (Estimated),Estimated Unreported to IAI
1/01/1973,20,419,19,120,220,,,,27,,,165
1/02/1973,18,391,17,110,204,,,,24,,,165
1/03/1973,18,434,17,123,230,,,,26,,,165
1/04/1973,18,415,19,119,223,,,,27,,,165
1/05/1973,20,428,19,123,235,,,,28,,,165
1/06/1973,21,416,19,119,228,,,,27,,,165
1/07/1973,23,425,19,124,229,,,,28,,,165
1/08/1973,23,411,19,117,232,,,,29,,,165
1/09/1973,22,407,19,114,226,,,,27,,,165
1/10/1973,22,428,20,125,241,,,,27,,,165
1/11/1973,22,422,21,123,238,,,,26,,,165
1/12/1973,22,443,21,122,251,,,,28,,,165
1/01/1974,22,450,21,118,258,,,,27,,,211
1/02/1974,19,419,19,107,235,,,,24,,,211
1/03/1974,21,469,22,119,262,,,,28,,,211
1/04/1974,21,457,21,116,256,,,,27,,,211
1/05/1974,23,470,22,122,267,,,,28,,,211
1/06/1974,23,452,21,121,260,,,,28,,,211
1/07/1974,25,460,22,127,271,,,,28,,,211
1/08/1974,25,452,21,129,269,,,,29,,,211
1/09/1974,24,443,20,125,264,,,,28,,,211
1/10/1974,25,463,23,129,268,,,,28,,,211
1/11/1974,25,455,22,124,265,,,,26,,,211
1/12/1974,25,464,22,126,275,,,,29,,,211
1/01/1975,24,445,23,121,276,,,,28,,,217
1/02/1975,22,366,21,108,245,,,,25,,,217
1/03/1975,24,394,23,114,268,,,,28,,,217
1/04/1975,23,370,22,113,259,,,,26,,,217
1/05/1975,23,368,24,115,264,,,,27,,,217
1/06/1975,21,343,23,112,252,,,,27,,,217
1/07/1975,22,353,23,118,257,,,,27,,,217
1/08/1975,22,352,23,119,249,,,,27,,,217
1/09/1975,22,342,22,113,242,,,,27,,,217
1/10/1975,22,354,24,120,251,,,,27,,,217
1/11/1975,22,351,23,118,244,,,,26,,,217
1/12/1975,25,362,24,119,255,,,,28,,,217
1/01/1976,27,364,23,118,253,,,,28,,,217
1/02/1976,26,342,23,104,239,,,,27,,,217
1/03/1976,30,368,25,111,260,,,,30,,,217
1/04/1976,28,366,25,111,253,,,,30,,,217
1/05/1976,26,392,25,113,264,,,,31,,,217
1/06/1976,27,348,26,109,260,,,,30,,,217
1/07/1976,28,367,26,116,269,,,,33,,,217
1/08/1976,29,375,28,113,267,,,,33,,,217
1/09/1976,28,369,28,110,262,,,,32,,,217
1/10/1976,30,391,29,116,272,,,,33,,,217
1/11/1976,29,385,29,117,267,,,,32,,,217
1/12/1976,29,418,29,127,284,,,,33,,,217
1/01/1977,29,430,30,131,286,,,,32,,,223
1/02/1977,26,384,26,123,254,,,,29,,,223
1/03/1977,30,425,27,138,279,,,,33,,,223
1/04/1977,30,417,29,136,272,,,,31,,,223
1/05/1977,33,431,30,137,278,,,,32,,,223
1/06/1977,33,418,30,135,266,,,,32,,,223
1/07/1977,27,431,31,138,275,,,,34,,,223
1/08/1977,27,427,31,137,275,,,,35,,,223
1/09/1977,31,417,31,133,271,,,,33,,,223
1/10/1977,33,437,31,137,281,,,,35,,,223
1/11/1977,34,430,31,132,273,,,,33,,,223
1/12/1977,34,446,31,137,282,,,,34,,,223
1/01/1978,34,450,32,135,282,,,,35,,,227
1/02/1978,30,412,29,122,254,,,,31,,,227
